image,ground_truth,prediction,similarity,threshold,method,correct
12_0.jpg,bumrah,bumrah,0.7432,0.5,Individual Embeddings,True
13_0.jpg,bumrah,bumrah,0.9123,0.5,Individual Embeddings,True
1_0.jpg,bumrah,unknown,0.3709,0.5,Individual Embeddings,False
22_0.jpg,bumrah,bumrah,0.7984,0.5,Individual Embeddings,True
23_0.jpg,bumrah,bumrah,0.7892,0.5,Individual Embeddings,True
25_0.jpg,bumrah,bumrah,0.8362,0.5,Individual Embeddings,True
34_0.jpg,bumrah,bumrah,0.8253,0.5,Individual Embeddings,True
34_1.jpg,bumrah,unknown,0.412,0.5,Individual Embeddings,False
34_2.jpg,bumrah,No Face,0.0,0.5,Individual Embeddings,False
36_0.jpg,bumrah,bumrah,0.7732,0.5,Individual Embeddings,True
3_0.jpg,bumrah,bumrah,0.5928,0.5,Individual Embeddings,True
57_0.jpg,bumrah,bumrah,0.7824,0.5,Individual Embeddings,True
63_0.jpg,bumrah,bumrah,0.7714,0.5,Individual Embeddings,True
68_0.jpg,bumrah,bumrah,0.548,0.5,Individual Embeddings,True
73_0.jpg,bumrah,bumrah,0.7693,0.5,Individual Embeddings,True
75_0.jpg,bumrah,bumrah,0.6666,0.5,Individual Embeddings,True
79_0.jpg,bumrah,bumrah,0.732,0.5,Individual Embeddings,True
83_1.jpg,bumrah,bumrah,0.6057,0.5,Individual Embeddings,True
85_0.jpg,bumrah,bumrah,0.7655,0.5,Individual Embeddings,True
8_0.jpg,bumrah,bumrah,0.5566,0.5,Individual Embeddings,True
24_0.jpg,kohli,kohli,0.737,0.5,Individual Embeddings,True
25_0.jpg,kohli,kohli,0.8293,0.5,Individual Embeddings,True
31_0.jpg,kohli,kohli,0.588,0.5,Individual Embeddings,True
33_0.jpg,kohli,kohli,0.93,0.5,Individual Embeddings,True
35_0.jpg,kohli,kohli,0.675,0.5,Individual Embeddings,True
41_0.jpg,kohli,kohli,0.6268,0.5,Individual Embeddings,True
51_0.jpg,kohli,kohli,0.8386,0.5,Individual Embeddings,True
55_0.jpg,kohli,kohli,0.7433,0.5,Individual Embeddings,True
59_0.jpg,kohli,kohli,0.7474,0.5,Individual Embeddings,True
61_2.jpg,kohli,kohli,0.6309,0.5,Individual Embeddings,True
