image,ground_truth,prediction,similarity,threshold,method,correct
12_0.jpg,bumrah,bumrah,0.7949,0.35,Avg Embeddings,True
13_0.jpg,bumrah,bumrah,0.791,0.35,Avg Embeddings,True
1_0.jpg,bumrah,unknown,0.3361,0.35,Avg Embeddings,False
22_0.jpg,bumrah,bumrah,0.7982,0.35,Avg Embeddings,True
23_0.jpg,bumrah,bumrah,0.7882,0.35,Avg Embeddings,True
25_0.jpg,bumrah,bumrah,0.8564,0.35,Avg Embeddings,True
34_0.jpg,bumrah,bumrah,0.7957,0.35,Avg Embeddings,True
34_1.jpg,bumrah,bumrah,0.4161,0.35,Avg Embeddings,True
34_2.jpg,bumrah,No Face,0.0,0.35,Avg Embeddings,False
36_0.jpg,bumrah,bumrah,0.7381,0.35,Avg Embeddings,True
3_0.jpg,bumrah,bumrah,0.616,0.35,Avg Embeddings,True
57_0.jpg,bumrah,bumrah,0.8311,0.35,Avg Embeddings,True
63_0.jpg,bumrah,bumrah,0.7166,0.35,Avg Embeddings,True
68_0.jpg,bumrah,bumrah,0.5546,0.35,Avg Embeddings,True
73_0.jpg,bumrah,bumrah,0.8073,0.35,Avg Embeddings,True
75_0.jpg,bumrah,bumrah,0.7419,0.35,Avg Embeddings,True
79_0.jpg,bumrah,bumrah,0.7195,0.35,Avg Embeddings,True
83_1.jpg,bumrah,bumrah,0.6124,0.35,Avg Embeddings,True
85_0.jpg,bumrah,bumrah,0.7844,0.35,Avg Embeddings,True
8_0.jpg,bumrah,bumrah,0.5517,0.35,Avg Embeddings,True
24_0.jpg,kohli,kohli,0.77,0.35,Avg Embeddings,True
25_0.jpg,kohli,kohli,0.8428,0.35,Avg Embeddings,True
31_0.jpg,kohli,kohli,0.6042,0.35,Avg Embeddings,True
33_0.jpg,kohli,kohli,0.8327,0.35,Avg Embeddings,True
35_0.jpg,kohli,kohli,0.7575,0.35,Avg Embeddings,True
41_0.jpg,kohli,kohli,0.6459,0.35,Avg Embeddings,True
51_0.jpg,kohli,kohli,0.8593,0.35,Avg Embeddings,True
55_0.jpg,kohli,kohli,0.7281,0.35,Avg Embeddings,True
59_0.jpg,kohli,kohli,0.7434,0.35,Avg Embeddings,True
61_2.jpg,kohli,kohli,0.5261,0.35,Avg Embeddings,True
66_0.jpg,kohli,kohli,0.8275,0.35,Avg Embeddings,True
69_0.jpg,kohli,kohli,0.7801,0.35,Avg Embeddings,True
6_1.jpg,kohli,kohli,0.8241,0.35,Avg Embeddings,True
71_0.jpg,kohli,kohli,0.64,0.35,Avg Embeddings,True
79_0.jpg,kohli,kohli,0.8366,0.35,Avg Embeddings,True
7_0.jpg,kohli,kohli,0.6995,0.35,Avg Embeddings,True
80_0.jpg,kohli,kohli,0.7573,0.35,Avg Embeddings,True
83_0.jpg,kohli,kohli,0.8107,0.35,Avg Embeddings,True
89_0.jpg,kohli,kohli,0.5485,0.35,Avg Embeddings,True
9_0.jpg,kohli,kohli,0.7388,0.35,Avg Embeddings,True
103_0.jpg,msd,msd,0.7538,0.35,Avg Embeddings,True
110_0.jpg,msd,msd,0.7585,0.35,Avg Embeddings,True
116_0.jpg,msd,msd,0.8316,0.35,Avg Embeddings,True
122_1.jpg,msd,msd,0.4046,0.35,Avg Embeddings,True
131_0.jpg,msd,msd,0.6866,0.35,Avg Embeddings,True
132_1.jpg,msd,msd,0.5865,0.35,Avg Embeddings,True
134_0.jpg,msd,msd,0.703,0.35,Avg Embeddings,True
136_0.jpg,msd,msd,0.5542,0.35,Avg Embeddings,True
138_0.jpg,msd,msd,0.7825,0.35,Avg Embeddings,True
13_0.jpg,msd,msd,0.7932,0.35,Avg Embeddings,True
142_0.jpg,msd,msd,0.8054,0.35,Avg Embeddings,True
144_1.jpg,msd,msd,0.6923,0.35,Avg Embeddings,True
148_0.jpg,msd,msd,0.8289,0.35,Avg Embeddings,True
150_0.jpg,msd,msd,0.7087,0.35,Avg Embeddings,True
150_1.jpg,msd,msd,0.4277,0.35,Avg Embeddings,True
151_0.jpg,msd,msd,0.8003,0.35,Avg Embeddings,True
156_0.jpg,msd,msd,0.4445,0.35,Avg Embeddings,True
162_1.jpg,msd,msd,0.7833,0.35,Avg Embeddings,True
165_2.jpg,msd,No Face,0.0,0.35,Avg Embeddings,False
169_0.jpg,msd,msd,0.7007,0.35,Avg Embeddings,True
191_0.jpg,msd,unknown,0.194,0.35,Avg Embeddings,False
198_0.jpg,msd,msd,0.6025,0.35,Avg Embeddings,True
199_1.jpg,msd,msd,0.7428,0.35,Avg Embeddings,True
20_1.jpg,msd,kohli,0.6356,0.35,Avg Embeddings,False
213_0.jpg,msd,No Face,0.0,0.35,Avg Embeddings,False
218_0.jpg,msd,msd,0.7325,0.35,Avg Embeddings,True
220_1.jpg,msd,msd,0.6879,0.35,Avg Embeddings,True
224_0.jpg,msd,msd,0.7866,0.35,Avg Embeddings,True
227_0.jpg,msd,msd,0.7653,0.35,Avg Embeddings,True
229_0.jpg,msd,msd,0.6366,0.35,Avg Embeddings,True
231_0.jpg,msd,msd,0.4624,0.35,Avg Embeddings,True
24_0.jpg,msd,msd,0.4339,0.35,Avg Embeddings,True
274_0.jpg,msd,msd,0.7753,0.35,Avg Embeddings,True
278_0.jpg,msd,msd,0.8361,0.35,Avg Embeddings,True
285_0.jpg,msd,msd,0.7327,0.35,Avg Embeddings,True
